Date,Territory,Region,Category,Product,Value,Volume,Customer_Segment
13-04-2025,Mumbai,North,E,P3,3816,461,Online
12-03-2026,Chennai,West,D,P4,86388,107,Online
15-12-2025,Delhi,North,E,P4,52973,157,Wholesale
28-09-2025,Chennai,South,C,P5,18564,371,Online
17-04-2025,Delhi,North,E,P2,70825,470,Online
13-03-2025,Delhi,South,E,P3,61489,80,Retail
08-07-2025,Delhi,West,A,P1,49414,147,Retail
21-01-2025,Mumbai,South,E,P6,57903,200,Online
13-04-2025,Chennai,South,B,P2,21904,204,Online
02-05-2025,Bangalore,South,B,P5,64871,373,Online
12-04-2026,Mumbai,North,D,P3,84750,194,Wholesale
03-08-2025,Delhi,South,E,P6,75552,325,Online
27-11-2025,Bangalore,North,D,P6,45699,206,Online
04-04-2026,Mumbai,North,C,P3,85510,208,Retail
29-03-2025,Bangalore,North,C,P4,74740,243,Online
08-01-2026,Delhi,West,A,P5,89134,98,Online
10-04-2025,Bangalore,West,A,P6,36890,234,Retail
26-12-2025,Bangalore,West,E,P3,71208,10,Online
01-06-2025,Delhi,North,E,P4,38420,200,Online
11-05-2025,Bangalore,West,D,P4,5536,108,Wholesale
30-05-2025,Mumbai,South,D,P1,76033,281,Online
05-11-2025,Bangalore,North,E,P6,66679,115,Retail
15-09-2025,Chennai,West,E,P5,77555,27,Online
10-12-2025,Mumbai,North,A,P5,86749,445,Online
18-02-2026,Bangalore,West,A,P3,99575,10,Online
21-10-2025,Chennai,South,A,P1,65993,420,Online
21-01-2026,Chennai,North,E,P2,47517,39,Retail
11-07-2025,Chennai,West,D,P3,39234,391,Retail
20-03-2026,Bangalore,West,B,P4,69659,271,Online
04-10-2025,Delhi,South,B,P2,8896,370,Online
10-06-2025,Chennai,South,D,P2,69178,141,Retail
05-04-2026,Delhi,West,D,P6,39342,33,Wholesale
10-11-2025,Mumbai,West,D,P3,18913,355,Online
22-01-2025,Delhi,North,A,P6,3635,450,Online
10-09-2025,Delhi,North,C,P1,44373,104,Retail
24-08-2025,Delhi,West,E,P5,59007,11,Online
11-12-2025,Delhi,South,A,P1,14425,405,Online
18-02-2025,Delhi,North,B,P3,97825,462,Online
20-04-2026,Mumbai,West,E,P5,17038,217,Online
28-02-2025,Mumbai,South,D,P2,40680,151,Retail
19-06-2025,Delhi,South,B,P4,56750,44,Online
21-04-2026,Delhi,West,D,P6,19927,449,Wholesale
07-07-2025,Chennai,West,D,P1,82241,70,Retail
09-04-2026,Mumbai,North,D,P6,5695,420,Retail
28-09-2025,Bangalore,West,E,P6,87204,378,Wholesale
09-07-2025,Mumbai,North,B,P5,45591,446,Wholesale
22-03-2026,Bangalore,South,B,P1,72229,241,Online
24-06-2025,Chennai,North,D,P5,33464,210,Wholesale
22-03-2026,Delhi,West,A,P4,95083,241,Online
20-02-2025,Chennai,North,C,P6,34999,170,Online
30-12-2025,Delhi,South,A,P3,71115,357,Online
24-02-2025,Mumbai,South,E,P3,94252,453,Retail
01-09-2025,Delhi,West,C,P5,8236,436,Online
16-11-2025,Bangalore,North,A,P5,49179,385,Online
11-05-2025,Bangalore,West,B,P3,31864,414,Retail
03-11-2025,Chennai,West,A,P2,60880,129,Online
15-05-2025,Mumbai,South,D,P2,73276,432,Retail
21-01-2025,Bangalore,North,E,P2,6808,398,Retail
25-11-2025,Chennai,West,A,P4,37274,220,Online
16-06-2025,Mumbai,South,A,P5,53768,415,Online
01-10-2025,Mumbai,West,C,P1,64340,190,Online
23-01-2026,Chennai,North,D,P1,58302,87,Retail
30-03-2025,Bangalore,West,C,P5,19233,234,Wholesale
12-11-2025,Bangalore,North,E,P3,13649,415,Retail
14-01-2025,Chennai,South,E,P5,89742,377,Wholesale
30-08-2025,Bangalore,South,D,P2,23245,135,Wholesale
22-09-2025,Chennai,West,C,P2,63500,404,Online
12-12-2025,Bangalore,South,D,P1,38830,84,Retail
22-02-2025,Bangalore,West,C,P5,56740,415,Retail
21-01-2026,Chennai,West,B,P1,36593,265,Retail
06-12-2025,Chennai,North,D,P3,52987,267,Retail
02-04-2025,Bangalore,West,E,P6,50388,6,Wholesale
02-01-2026,Chennai,North,C,P6,74352,427,Online
20-03-2026,Bangalore,West,B,P6,89773,59,Wholesale
31-03-2026,Delhi,North,E,P4,6695,110,Wholesale
04-03-2026,Mumbai,South,C,P4,33596,18,Wholesale
21-09-2025,Mumbai,West,B,P3,69671,383,Retail
07-03-2026,Bangalore,North,E,P2,52502,285,Wholesale
04-02-2025,Mumbai,West,E,P2,17575,385,Retail
25-07-2025,Bangalore,North,B,P2,33066,374,Retail
22-03-2025,Chennai,North,E,P1,2296,44,Retail
24-02-2026,Delhi,West,C,P6,58778,161,Retail
19-02-2025,Mumbai,West,C,P1,7849,323,Wholesale
26-12-2025,Mumbai,South,E,P4,6993,38,Wholesale
23-01-2026,Chennai,South,A,P2,94309,237,Retail
02-01-2025,Delhi,South,B,P2,85171,101,Online
25-01-2026,Delhi,West,A,P6,13005,169,Retail
23-02-2025,Delhi,South,C,P3,31179,272,Wholesale
16-04-2025,Chennai,North,E,P4,36929,294,Retail
