sales_id,Date,Territory,territory_key,Region,region_key,Category,Product,Value,Volume,Customer_Segment,customer_segment_key
SALE-000001,13-04-2025,Mumbai,4,North,1,E,P3,3816,461,Online,1
SALE-000002,12-03-2026,Chennai,2,West,3,D,P4,86388,107,Online,1
SALE-000003,15-12-2025,Delhi,3,North,1,E,P4,52973,157,Wholesale,3
SALE-000004,28-09-2025,Chennai,2,South,2,C,P5,18564,371,Online,1
SALE-000005,17-04-2025,Delhi,3,North,1,E,P2,70825,470,Online,1
SALE-000006,13-03-2025,Delhi,3,South,2,E,P3,61489,80,Retail,2
SALE-000007,08-07-2025,Delhi,3,West,3,A,P1,49414,147,Retail,2
SALE-000008,21-01-2025,Mumbai,4,South,2,E,P6,57903,200,Online,1
SALE-000009,13-04-2025,Chennai,2,South,2,B,P2,21904,204,Online,1
SALE-000010,02-05-2025,Bangalore,1,South,2,B,P5,64871,373,Online,1
SALE-000011,12-04-2026,Mumbai,4,North,1,D,P3,84750,194,Wholesale,3
SALE-000012,03-08-2025,Delhi,3,South,2,E,P6,75552,325,Online,1
SALE-000013,27-11-2025,Bangalore,1,North,1,D,P6,45699,206,Online,1
SALE-000014,04-04-2026,Mumbai,4,North,1,C,P3,85510,208,Retail,2
SALE-000015,29-03-2025,Bangalore,1,North,1,C,P4,74740,243,Online,1
SALE-000016,08-01-2026,Delhi,3,West,3,A,P5,89134,98,Online,1
SALE-000017,10-04-2025,Bangalore,1,West,3,A,P6,36890,234,Retail,2
SALE-000018,26-12-2025,Bangalore,1,West,3,E,P3,71208,10,Online,1
SALE-000019,01-06-2025,Delhi,3,North,1,E,P4,38420,200,Online,1
SALE-000020,11-05-2025,Bangalore,1,West,3,D,P4,5536,108,Wholesale,3
SALE-000021,30-05-2025,Mumbai,4,South,2,D,P1,76033,281,Online,1
SALE-000022,05-11-2025,Bangalore,1,North,1,E,P6,66679,115,Retail,2
SALE-000023,15-09-2025,Chennai,2,West,3,E,P5,77555,27,Online,1
SALE-000024,10-12-2025,Mumbai,4,North,1,A,P5,86749,445,Online,1
SALE-000025,18-02-2026,Bangalore,1,West,3,A,P3,99575,10,Online,1
SALE-000026,21-10-2025,Chennai,2,South,2,A,P1,65993,420,Online,1
SALE-000027,21-01-2026,Chennai,2,North,1,E,P2,47517,39,Retail,2
SALE-000028,11-07-2025,Chennai,2,West,3,D,P3,39234,391,Retail,2
SALE-000029,20-03-2026,Bangalore,1,West,3,B,P4,69659,271,Online,1
SALE-000030,04-10-2025,Delhi,3,South,2,B,P2,8896,370,Online,1
SALE-000031,10-06-2025,Chennai,2,South,2,D,P2,69178,141,Retail,2
SALE-000032,05-04-2026,Delhi,3,West,3,D,P6,39342,33,Wholesale,3
SALE-000033,10-11-2025,Mumbai,4,West,3,D,P3,18913,355,Online,1
SALE-000034,22-01-2025,Delhi,3,North,1,A,P6,3635,450,Online,1
SALE-000035,10-09-2025,Delhi,3,North,1,C,P1,44373,104,Retail,2
SALE-000036,24-08-2025,Delhi,3,West,3,E,P5,59007,11,Online,1
SALE-000037,11-12-2025,Delhi,3,South,2,A,P1,14425,405,Online,1
SALE-000038,18-02-2025,Delhi,3,North,1,B,P3,97825,462,Online,1
SALE-000039,20-04-2026,Mumbai,4,West,3,E,P5,17038,217,Online,1
SALE-000040,28-02-2025,Mumbai,4,South,2,D,P2,40680,151,Retail,2
SALE-000041,19-06-2025,Delhi,3,South,2,B,P4,56750,44,Online,1
SALE-000042,21-04-2026,Delhi,3,West,3,D,P6,19927,449,Wholesale,3
SALE-000043,07-07-2025,Chennai,2,West,3,D,P1,82241,70,Retail,2
SALE-000044,09-04-2026,Mumbai,4,North,1,D,P6,5695,420,Retail,2
SALE-000045,28-09-2025,Bangalore,1,West,3,E,P6,87204,378,Wholesale,3
SALE-000046,09-07-2025,Mumbai,4,North,1,B,P5,45591,446,Wholesale,3
SALE-000047,22-03-2026,Bangalore,1,South,2,B,P1,72229,241,Online,1
SALE-000048,24-06-2025,Chennai,2,North,1,D,P5,33464,210,Wholesale,3
SALE-000049,22-03-2026,Delhi,3,West,3,A,P4,95083,241,Online,1
SALE-000050,20-02-2025,Chennai,2,North,1,C,P6,34999,170,Online,1
SALE-000051,30-12-2025,Delhi,3,South,2,A,P3,71115,357,Online,1
SALE-000052,24-02-2025,Mumbai,4,South,2,E,P3,94252,453,Retail,2
SALE-000053,01-09-2025,Delhi,3,West,3,C,P5,8236,436,Online,1
SALE-000054,16-11-2025,Bangalore,1,North,1,A,P5,49179,385,Online,1
SALE-000055,11-05-2025,Bangalore,1,West,3,B,P3,31864,414,Retail,2
SALE-000056,03-11-2025,Chennai,2,West,3,A,P2,60880,129,Online,1
SALE-000057,15-05-2025,Mumbai,4,South,2,D,P2,73276,432,Retail,2
SALE-000058,21-01-2025,Bangalore,1,North,1,E,P2,6808,398,Retail,2
SALE-000059,25-11-2025,Chennai,2,West,3,A,P4,37274,220,Online,1
SALE-000060,16-06-2025,Mumbai,4,South,2,A,P5,53768,415,Online,1
SALE-000061,01-10-2025,Mumbai,4,West,3,C,P1,64340,190,Online,1
SALE-000062,23-01-2026,Chennai,2,North,1,D,P1,58302,87,Retail,2
SALE-000063,30-03-2025,Bangalore,1,West,3,C,P5,19233,234,Wholesale,3
SALE-000064,12-11-2025,Bangalore,1,North,1,E,P3,13649,415,Retail,2
SALE-000065,14-01-2025,Chennai,2,South,2,E,P5,89742,377,Wholesale,3
SALE-000066,30-08-2025,Bangalore,1,South,2,D,P2,23245,135,Wholesale,3
SALE-000067,22-09-2025,Chennai,2,West,3,C,P2,63500,404,Online,1
SALE-000068,12-12-2025,Bangalore,1,South,2,D,P1,38830,84,Retail,2
SALE-000069,22-02-2025,Bangalore,1,West,3,C,P5,56740,415,Retail,2
SALE-000070,21-01-2026,Chennai,2,West,3,B,P1,36593,265,Retail,2
SALE-000071,06-12-2025,Chennai,2,North,1,D,P3,52987,267,Retail,2
SALE-000072,02-04-2025,Bangalore,1,West,3,E,P6,50388,6,Wholesale,3
SALE-000073,02-01-2026,Chennai,2,North,1,C,P6,74352,427,Online,1
SALE-000074,20-03-2026,Bangalore,1,West,3,B,P6,89773,59,Wholesale,3
SALE-000075,31-03-2026,Delhi,3,North,1,E,P4,6695,110,Wholesale,3
SALE-000076,04-03-2026,Mumbai,4,South,2,C,P4,33596,18,Wholesale,3
SALE-000077,21-09-2025,Mumbai,4,West,3,B,P3,69671,383,Retail,2
SALE-000078,07-03-2026,Bangalore,1,North,1,E,P2,52502,285,Wholesale,3
SALE-000079,04-02-2025,Mumbai,4,West,3,E,P2,17575,385,Retail,2
SALE-000080,25-07-2025,Bangalore,1,North,1,B,P2,33066,374,Retail,2
SALE-000081,22-03-2025,Chennai,2,North,1,E,P1,2296,44,Retail,2
SALE-000082,24-02-2026,Delhi,3,West,3,C,P6,58778,161,Retail,2
SALE-000083,19-02-2025,Mumbai,4,West,3,C,P1,7849,323,Wholesale,3
SALE-000084,26-12-2025,Mumbai,4,South,2,E,P4,6993,38,Wholesale,3
SALE-000085,23-01-2026,Chennai,2,South,2,A,P2,94309,237,Retail,2
SALE-000086,02-01-2025,Delhi,3,South,2,B,P2,85171,101,Online,1
SALE-000087,25-01-2026,Delhi,3,West,3,A,P6,13005,169,Retail,2
SALE-000088,23-02-2025,Delhi,3,South,2,C,P3,31179,272,Wholesale,3
SALE-000089,16-04-2025,Chennai,2,North,1,E,P4,36929,294,Retail,2
SALE-000090,17-09-2025,Mumbai,4,West,3,D,P6,3087,63,Wholesale,3
SALE-000091,06-11-2025,Mumbai,4,North,1,D,P1,92235,227,Wholesale,3
SALE-000092,22-04-2026,Delhi,3,North,1,A,P4,47587,346,Online,1
SALE-000093,10-07-2025,Chennai,2,North,1,A,P6,28948,228,Wholesale,3
SALE-000094,06-02-2026,Chennai,2,West,3,A,P2,81741,341,Retail,2
SALE-000095,06-08-2025,Chennai,2,West,3,C,P2,26843,484,Wholesale,3
SALE-000096,13-02-2025,Delhi,3,South,2,C,P1,91447,467,Retail,2
SALE-000097,11-06-2025,Chennai,2,South,2,E,P1,8673,265,Online,1
